P&ID Number,Serial Number,Type,Calibration Scale,Calibration Offset,Assigned EBox Port,Age,Notes
PT1,062316-0044,TD30,1955.888606,,"(2, 2)",SP26,
PT2,062316-0071,TD30,1844.895092,,"(1, 2)",SP26,
PT3,45963-G5,TD1000,623.1719912,,"(0, 2)",SP26,
PT4,45964-G5,TD1000,617.6467029,,"(2, 1)",SP26,
PT5,062316-0060,TD30,1838.94488,,"(1, 1)",SP26,
PT6,062316-0077,TD30,5132.8549,,"(0, 1)",SP26,
PT7,062316-0019,TD30,1822.684234,,"(2, 0)",SP26,
PT8,012016-004,TD30,1868.679613,,"(1, 0)",SP26,
PT9,062316-0076,TD30,1871.12185,,"(0, 0)",SP26,
PT10,33324-G5,Calib,504.2437151,-200.0827676,"(-1, 0)",FA25,
-,61548-G5,TD1000,,,-,FA22,Backup
-,33345-G5,TD1000,,,-,SP26,Backup
-,64081-G5,TD1000,,,-,SP23,Backup
